instance,seed,qubits,conflicts,exact_status,exact_objective,quantum_objective,greedy_objective,p_opt,p_feasible,uniform_p_opt,hit16,uniform_hit16,cnot_full,cnot_auto,depth_full,depth_auto,phase_max_error,evaluations,quantum_seconds,milp_seconds,exact_seconds
evaluation-n3-d0.json,0,6,2,optimal,8,8,8,0.2614327980332667,0.9748371961666141,0.125,0.9921613678588294,0.8819329129787512,19,13,19,17,2.220446049250313e-16,120,0.09184456900402438,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,1,6,2,optimal,8,8,8,0.26174291587784065,0.9751319926544494,0.125,0.9922138642995674,0.8819329129787512,19,13,19,17,1.6653345369377348e-16,120,0.08878751100564841,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,2,6,2,optimal,8,8,8,0.2620056797117026,0.9753921540521534,0.125,0.9922580865638623,0.8819329129787512,19,13,19,17,2.220446049250313e-16,120,0.08747898800356779,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,3,6,2,optimal,8,8,8,0.2614503472187389,0.9748421704548531,0.125,0.9921643474029415,0.8819329129787512,19,13,19,17,5.551115123125783e-17,120,0.09022140198794659,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,4,6,2,optimal,8,8,8,0.2653995456431184,0.9771014475922252,0.125,0.9928085066699703,0.8819329129787512,19,13,19,17,1.1102230246251565e-16,120,0.09245527700113598,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,5,6,2,optimal,8,8,8,0.2612440470070083,0.974625392804533,0.125,0.9921292540224755,0.8819329129787512,19,13,19,17,1.6653345369377348e-16,120,0.09163637198798824,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,6,6,2,optimal,8,8,8,0.2958152020794941,0.7103145400422374,0.125,0.9963441672150265,0.8819329129787512,19,13,19,17,2.220446049250313e-16,120,0.09251792100258172,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,7,6,2,optimal,8,8,8,0.26157994996609263,0.9749706421556402,0.125,0.9921863188253182,0.8819329129787512,19,13,19,17,1.3877787807814457e-16,120,0.09397686300508212,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,8,6,2,optimal,8,8,8,0.26143408993850714,0.9748235918381696,0.125,0.9921615872379095,0.8819329129787512,19,13,19,17,1.6653345369377348e-16,120,0.09181333499145694,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d0.json,9,6,2,optimal,8,8,8,0.26140880097434704,0.974805549226439,0.125,0.9921572918595271,0.8819329129787512,19,13,19,17,2.220446049250313e-16,120,0.09004280899534933,0.004502966010477394,6.851699436083436e-05
evaluation-n3-d1.json,0,6,3,optimal,5,5,,0.5513163029630032,0.6878877797733494,0.125,0.9999973019832905,0.8819329129787512,21,15,19,19,1.942890293094024e-16,120,0.09222971499548294,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,1,6,3,optimal,5,5,,0.5464945765855659,0.6924020462119727,0.125,0.9999967987487459,0.8819329129787512,21,15,19,19,8.326672684688674e-17,120,0.0933053420012584,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,2,6,3,optimal,5,5,,0.5454496837929579,0.6929208640332477,0.125,0.9999966786745947,0.8819329129787512,21,15,19,19,1.1102230246251565e-16,120,0.09018810799170751,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,3,6,3,optimal,5,5,,0.5465376407753609,0.6923588718980391,0.125,0.9999968036090593,0.8819329129787512,21,15,19,19,1.6653345369377348e-16,120,0.09045115299522877,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,4,6,3,optimal,5,5,,0.5495819258955149,0.6900499217374824,0.125,0.9999971301912938,0.8819329129787512,21,15,19,19,2.220446049250313e-16,120,0.08799156101304106,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,5,6,3,optimal,5,5,,0.5419509537750821,0.6940308941802624,0.125,0.99999624515745,0.8819329129787512,21,15,19,19,1.1102230246251565e-16,120,0.08604533500329126,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,6,6,3,optimal,5,5,,0.5530857421908109,0.6725371739136137,0.125,0.9999974672789416,0.8819329129787512,21,15,19,19,1.5265566588595902e-16,120,0.08862348301045131,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,7,6,3,optimal,5,5,,0.5446086065929655,0.6932597151041332,0.125,0.9999965789683218,0.8819329129787512,21,15,19,19,1.1102230246251565e-16,120,0.08940487200743519,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,8,6,3,optimal,5,5,,0.5495820626263523,0.6899881537906702,0.125,0.9999971302052325,0.8819329129787512,21,15,19,19,1.6653345369377348e-16,120,0.0911469999991823,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d1.json,9,6,3,optimal,5,5,,0.5318416213709359,0.6943879464483694,0.125,0.9999946754267532,0.8819329129787512,21,15,19,19,1.1102230246251565e-16,120,0.09305438799492549,0.0010963259992422536,5.920299736317247e-05
evaluation-n3-d2.json,0,6,4,optimal,11,11,,0.247290458699881,0.4253369328933362,0.125,0.9893820973659624,0.8819329129787512,23,17,25,20,1.6653345369377348e-16,105,0.07833943000878207,0.001244475002749823,5.5931988754309714e-05
evaluation-n3-d2.json,1,6,4,optimal,11,11,,0.24729430531657298,0.4253415472726614,0.125,0.9893829655135574,0.8819329129787512,23,17,25,20,1.3877787807814457e-16,107,0.07903428698773496,0.001244475002749823,5.5931988754309714e-05
evaluation-n3-d2.json,2,6,4,optimal,11,11,,0.2472908614078306,0.42533694380569803,0.125,0.9893821882567277,0.8819329129787512,23,17,25,20,2.220446049250313e-16,114,0.08316879300400615,0.001244475002749823,5.5931988754309714e-05
evaluation-n3-d2.json,3,6,4,optimal,11,11,,0.24729071671511396,0.4253366764784746,0.125,0.989382155599816,0.8819329129787512,23,17,25,20,1.6653345369377348e-16,93,0.06882384201162495,0.001244475002749823,5.5931988754309714e-05
evaluation-n3-d2.json,4,6,4,optimal,11,11,,0.05419523134910682,0.28385595827653864,0.125,0.5899621103573566,0.8819329129787512,23,17,25,20,1.1102230246251565e-16,118,0.09146997799689416,0.001244475002749823,5.5931988754309714e-05
evaluation-n3-d2.json,5,6,4,optimal,11,11,,0.31783436009462646,0.6086089253670168,0.125,0.9978009381246559,0.8819329129787512,23,17,25,20,5.551115123125783e-17,120,0.08892984199337661,0.001244475002749823,5.5931988754309714e-05
evaluation-n3-d2.json,6,6,4,optimal,11,11,,0.24729302793777916,0.4253419314334759,0.125,0.9893826772277656,0.8819329129787512,23,17,25,20,5.551115123125783e-17,101,0.07662301701202523,0.001244475002749823,5.5931988754309714e-05
evaluation-n3-d2.json,7,6,4,optimal,11,11,,0.24729162717063713,0.4253408576113461,0.125,0.9893823610865844,0.8819329129787512,23,17,25,20,1.1102230246251565e-16,102,0.07645209999463987,0.001244475002749823,5.5931988754309714e-05
