instance,category,optimum,direct_optimal_seeds,direct_feasible_seeds,direct_mean_circuit_evaluations,direct_mean_shots,direct_mean_runtime_seconds,reduced_optimal_seeds,reduced_feasible_seeds,reduced_mean_circuit_evaluations,reduced_mean_shots,reduced_mean_runtime_seconds,uniform_direct_optimal_seeds,uniform_direct_feasible_seeds,uniform_direct_mean_circuit_evaluations,uniform_direct_mean_shots,uniform_direct_mean_runtime_seconds,uniform_reduced_optimal_seeds,uniform_reduced_feasible_seeds,uniform_reduced_mean_circuit_evaluations,uniform_reduced_mean_shots,uniform_reduced_mean_runtime_seconds
n3-s0-r0.json,quantum_required,10,10,10,120,512,0.1079003348990227,10,10,120,512,0.10373625380307203,10,10,0,512,0.008913774098618887,10,10,0,512,0.006598232200485654
n3-s0-r1.json,quantum_required,19,10,10,120,512,0.11482754090393428,10,10,120,512,0.07979466739925556,10,10,0,512,0.009365463502763304,10,10,0,512,0.00384900279896101
n3-s0-r2.json,quantum_required,10,10,10,120,512,0.10773581490066135,10,10,120,512,0.10562660339928698,10,10,0,512,0.00876773510244675,10,10,0,512,0.006501629196282011
n3-s0-r3.json,quantum_required,14,10,10,119.1,512,0.10923957769700791,10,10,120,512,0.07780722139723366,10,10,0,512,0.009105935199477245,10,10,0,512,0.003917920097592287
n3-s1-r0.json,classical_only,25,10,10,118,512,0.10216774239961524,10,10,0,0,4.067710106028244e-05,10,10,0,512,0.009232779299782123,10,10,0,0,3.256910131312907e-05
n3-s1-r1.json,quantum_required,10,10,10,120,512,0.09307447290048003,10,10,120,512,0.0832373524986906,10,10,0,512,0.008782370998233091,10,10,0,512,0.003801617202407215
n3-s1-r2.json,infeasible,,0,0,0,0,7.927899423521012e-06,0,0,0,0,7.678012480027974e-07,0,0,0,0,2.0680802117567508e-05,0,0,0,0,5.380992661230266e-07
n3-s1-r3.json,infeasible,,0,0,0,0,9.258030331693589e-07,0,0,0,0,4.5889901230111717e-07,0,0,0,0,9.814200166147202e-06,0,0,0,0,3.9709702832624315e-07
n3-s2-r0.json,infeasible,,0,0,120,512,0.12275705649954034,0,0,0,0,2.069500624202192e-06,0,0,0,512,0.009805972798494622,0,0,0,0,1.874897861853242e-06
n3-s2-r1.json,quantum_required,7,10,10,120,512,0.11858052140014479,10,10,120,512,0.11588087610289222,10,10,0,512,0.0094503406988224,10,10,0,512,0.0067445095992297865
n3-s2-r2.json,classical_only,27,10,10,113.4,512,0.10993376160040498,10,10,0,0,3.954429703298956e-05,10,10,0,512,0.009999421700194943,10,10,0,0,3.415090177441016e-05
n3-s2-r3.json,infeasible,,0,0,120,512,0.11130565089988523,0,0,0,0,2.0446983398869635e-06,0,0,0,512,0.009484912701009308,0,0,0,0,1.6884005162864923e-06
n4-s0-r0.json,quantum_required,22,10,10,120,512,0.130258029900142,10,10,120,512,0.10626539839868201,10,10,0,512,0.012142310400668066,10,10,0,512,0.009465872401779051
n4-s0-r1.json,quantum_required,18,10,10,119,512,0.15588327040022704,10,10,120,512,0.08537370519770775,10,10,0,512,0.014133049100928474,10,10,0,512,0.003794058598577976
n4-s0-r2.json,quantum_required,4,9,10,119.7,512,0.1328705751016969,10,10,120,512,0.08051395770162344,10,10,0,512,0.01237834350176854,10,10,0,512,0.005089961500198114
n4-s0-r3.json,quantum_required,10,9,10,120,512,0.12333292400144273,10,10,120,512,0.08297454080166063,10,10,0,512,0.011729498601926024,10,10,0,512,0.005329226300818846
n4-s1-r0.json,infeasible,,0,0,0,0,1.6901030903682113e-06,0,0,0,0,7.124966941773892e-07,0,0,0,0,1.7053697956725954e-05,0,0,0,0,5.619993316940964e-07
n4-s1-r1.json,infeasible,,0,0,0,0,1.1206997442059218e-06,0,0,0,0,5.893001798540354e-07,0,0,0,0,1.2455596879590302e-05,0,0,0,0,4.968998837284743e-07
