dataset,seed,mixer,qubits,objective,violations,exact_objective,gap,feasible_probability,one_hot_probability,uniform_feasible_probability,quantum_seconds,exact_seconds,circuit_evaluations
simple,7,xy,6,5,0,5,0,0.38440607800333104,1.0,0.4444444444444444,0.1061107989953598,4.6133995056152344e-05,120
simple,7,x,6,5,0,5,0,0.013175599362848284,0.11980859447248007,0.4444444444444444,0.05948293599067256,4.590699973050505e-05,87
simple,19,xy,6,5,0,5,0,0.6881438966232601,1.0000000000000002,0.4444444444444444,0.10694761799823027,4.044700472149998e-05,120
simple,19,x,6,5,0,5,0,0.013175458736328177,0.11980816033924457,0.4444444444444444,0.07168420701054856,4.244499723426998e-05,100
simple,42,xy,6,5,0,5,0,0.4204935942354665,1.0,0.4444444444444444,0.10352410899940878,3.847399784717709e-05,120
simple,42,x,6,5,0,5,0,0.013176372564136205,0.1198100716523653,0.4444444444444444,0.049558814003830776,4.142100806348026e-05,77
medium,7,xy,12,4,0,4,0,0.39321371720019777,1.0,0.12345679012345678,0.3019266199989943,0.0010143179970327765,99
medium,7,x,12,8,0,4,4,0.002104551319087699,0.027481123086510018,0.12345679012345678,0.34227974599343725,0.000773777996073477,91
medium,19,xy,12,4,0,4,0,0.22151472236408537,0.9999999999999999,0.12345679012345678,0.33169577601074707,0.0005450659955386072,120
medium,19,x,12,18,0,4,14,0.002104536435839374,0.027481354017823586,0.12345679012345678,0.20405158000357915,0.0006257869972614571,94
medium,42,xy,12,4,0,4,0,0.13043874311759956,0.9999999999999997,0.12345679012345678,0.32535181699495297,0.0005213779950281605,120
medium,42,x,12,13,0,4,9,0.0021045374643614586,0.027481349408133404,0.12345679012345678,0.2540627599955769,0.0009578379977028817,98
