instance,tasks,scenario,replicate,feasible,optimum,raw_candidates,calendar_qubits,propagation_qubits,max_component_qubits,cnot_calendar_full,cnot_components_full,cnot_components_auto,mean_p_opt,min_p_opt,uniform_p_opt,direct_optimal_samples,reduced_optimal_samples,direct_mean_evaluations,reduced_mean_evaluations,direct_mean_seconds,reduced_mean_seconds,direct_shots,reduced_total_shots,milp_seconds,feasible_assignments
n3-s0-r0.json,3,0,0,True,10,9,8,7,7,35,35,17,0.2665666059616983,0.19510255146572145,0.08333333333333333,10,10,120.0,120.0,0.11954604200145695,0.11346447160467506,512,512,0.0033687499962979928,11
n3-s0-r1.json,3,0,1,True,19,9,8,5,3,39,17,9,0.1498783034662308,0.045674514794226725,0.08333333333333333,10,10,120.0,240.0,0.11544594240112929,0.16356325849919812,512,1024,0.0013095100002828985,6
n3-s0-r2.json,3,0,2,True,10,9,8,7,7,39,39,21,0.14746506741241122,0.07533068402693312,0.08333333333333333,10,10,120.0,120.0,0.12392121899756603,0.12085012139868923,512,512,0.001514597999630496,9
n3-s0-r3.json,3,0,3,True,14,9,8,5,3,37,17,9,0.18756947929762055,0.03972630532539659,0.08333333333333333,10,10,119.1,237.7,0.12156252180429875,0.1710476296968409,512,1024,0.0014459550002356991,6
n3-s1-r0.json,3,1,0,True,25,9,7,0,0,36,0,0,0.22387757618912868,0.10902617404131001,0.125,10,10,118.0,0.0,0.12670059189986205,0.00012506439961725845,512,0,0.0013312529918039218,1
n3-s1-r1.json,3,1,1,True,10,9,6,3,3,23,12,6,0.4657987442083537,0.4205655525091264,0.25,10,10,120.0,120.0,0.10316041210171534,0.0896732384004281,512,512,0.0022428840020438656,3
n3-s1-r2.json,3,1,2,False,,9,5,,,,,,0,0,0,0,0,0.0,0.0,1.319301372859627e-06,1.5941899619065225e-05,0,0,0.0014472780021606013,0
n3-s1-r3.json,3,1,3,False,,9,4,,,,,,0,0,0,0,0,0.0,0.0,1.1288982932455838e-06,1.2739002704620361e-05,0,0,0.0009325279970653355,0
n3-s2-r0.json,3,2,0,False,,9,8,,,53,,,0.0,0.0,0.0,0,0,120.0,0.0,0.12248277290054829,4.150260065216571e-05,512,0,0.0007442550122505054,0
n3-s2-r1.json,3,2,1,True,7,9,8,7,7,49,49,31,0.20496167262866702,0.1236033267428613,0.08333333333333333,10,10,120.0,119.2,0.11919976220233366,0.11546347079711268,512,512,0.0012447180051822215,4
n3-s2-r2.json,3,2,2,True,27,9,8,0,0,49,0,0,0.1405278101472927,0.015108814213825376,0.08333333333333333,10,10,113.4,0.0,0.12212199769855943,0.00013352050154935569,512,0,0.0011814540048362687,1
n3-s2-r3.json,3,2,3,False,,9,8,,,45,,,0.0,0.0,0.0,0,0,120.0,0.0,0.12548059099790407,4.687959881266579e-05,512,0,0.0014003039977978915,0
n4-s0-r0.json,4,0,0,True,22,11,10,7,7,50,30,20,0.06822123061237241,0.040034472616669446,0.041666666666666664,10,10,120.0,120.0,0.13614594120008405,0.11784110360022168,512,512,0.0016433980053989217,4
n4-s0-r1.json,4,0,1,True,18,11,10,4,2,52,10,6,0.10528440597012671,0.08089622814059329,0.041666666666666664,10,10,119.0,240.0,0.142510288800986,0.1637988957023481,512,1024,0.0011643040052149445,4
n4-s0-r2.json,4,0,2,True,4,11,10,7,5,46,24,14,0.03416413334547393,0.002247822702867585,0.041666666666666664,9,10,119.7,240.0,0.1281577933987137,0.16884924530022544,512,1024,0.0013204370043240488,10
n4-s0-r3.json,4,0,3,True,10,11,10,8,5,44,33,19,0.05208235066834742,0.0016328353164022516,0.041666666666666664,9,10,120.0,240.0,0.13882664210250367,0.19272199400002138,512,1024,0.0025123119994532317,12
n4-s1-r0.json,4,1,0,False,,11,7,,,,,,0,0,0,0,0,0.0,0.0,1.3762997696176172e-06,1.8529196677263825e-05,0,0,0.0011201460001757368,0
n4-s1-r1.json,4,1,1,False,,11,7,,,,,,0,0,0,0,0,0.0,0.0,1.1947980965487658e-06,1.750399824231863e-05,0,0,0.0009516749996691942,0
n4-s1-r2.json,4,1,2,True,18,11,9,8,8,43,43,27,0.11597529302208902,0.021024335478386613,0.0625,10,10,119.9,120.0,0.12080838679685257,0.11563629190059146,512,512,0.006262604001676664,5
n4-s1-r3.json,4,1,3,True,15,11,7,4,2,19,10,6,0.28623411180299746,0.2007734980914638,0.16666666666666666,10,10,119.7,240.0,0.09156022519746329,0.1465202424005838,512,1024,0.0011463349947007373,4
n4-s2-r0.json,4,2,0,True,7,11,10,8,8,52,43,27,0.10298034427930033,0.09344742182326912,0.041666666666666664,10,10,118.3,118.7,0.12687954120046924,0.11067967230046634,512,512,0.0015027579938760027,6
n4-s2-r1.json,4,2,1,True,3,11,10,9,9,62,62,42,0.16251184947141123,0.06401722334036038,0.041666666666666664,10,10,120.0,120.0,0.13655680369993206,0.12902965640096226,512,512,0.0012826049933210015,1
n4-s2-r2.json,4,2,2,True,32,11,10,7,7,60,34,24,0.20635326695142306,0.1761668772052385,0.08333333333333333,10,10,120.0,120.0,0.13874826969986315,0.1086697559003369,512,512,0.001251245994353667,2
n4-s2-r3.json,4,2,3,False,,11,10,,,64,,,0.0,0.0,0.0,0,0,120.0,0.0,0.13585359859862364,4.380430036690086e-05,512,0,0.0010051499994006008,0
n5-s0-r0.json,5,0,0,True,17,14,13,9,5,62,29,17,0.015488200547768472,0.002008119769225996,0.013888888888888888,9,10,119.7,360.0,0.3219157351049944,0.23833269009919605,512,1536,0.0011530460033100098,20
n5-s0-r1.json,5,0,1,True,11,14,13,12,9,54,54,28,0.05113192649442645,0.011923185360977761,0.013888888888888888,10,10,120.0,240.0,0.33996222440182466,0.22968445990118197,512,1024,0.0014016689965501428,51
n5-s0-r2.json,5,0,2,True,13,14,13,11,6,58,49,27,0.058269790750916275,0.01732882179009122,0.013888888888888888,10,10,120.0,359.9,0.3123566098991432,0.265213498097728,512,1536,0.001464929009671323,30
n5-s0-r3.json,5,0,3,True,3,14,13,12,9,64,64,38,0.020842987283326557,0.004101062408401113,0.013888888888888888,10,10,118.7,235.0,0.3265470251004444,0.21382746379968012,512,1024,0.0018701529916143045,27
n5-s1-r0.json,5,1,0,False,,14,12,,,53,,,0.0,0.0,0.0,0,0,120.0,0.0,0.27161877359758363,4.5423099072650076e-05,512,0,0.0010818860027939081,0
